"stream","R2","adj.R2","p.value","AIC"
"Feed13MeanPct",0.837947728593242,0.819941920659158,7.71332892506113e-05,14.4092421432405
"Feed14MeanPct",0.838744028415438,0.820826698239375,7.54137387246917e-05,13.4123410436624
"OS13MeanPct",0.681711710208016,0.646346344675573,0.0017443533731785,17.0232053072984
"OS14MeanPct",0.655287481098587,0.616986090109541,0.00253569388099241,16.949849156584
"US13MeanPct",0.778167628787068,0.750438582385452,0.000730610521113412,38.7590438141232
"US14MeanPct",0.764399526598945,0.734949467423813,0.000935978642715429,39.9798172320412
