sieve,F13m,F14m
1,1180,0.0405155903865973,0.0462433375541192
2,600,0.100826354474641,0.10618980330114
3,425,0.0951732005631376,0.0969808889463509
4,300,0.130986896557492,0.13238004068598
5,212,0.126304365125606,0.123961909602351
6,180,0.044328971874269,0.0436509362077421
7,150,0.0530175708603591,0.0531440752487602
8,106,0.0895959533821184,0.0851230544595786
9,75,0.0609912793429702,0.060776900348552
10,53,0.0544843557318453,0.053088926541444
11,38,0.0297245189439133,0.0279787252985458
12,0,0.174050942757052,0.170481401805437
