"stream","term","estimate"
"Feed13MeanPct","(Intercept)",3.24632859289021
"Feed13MeanPct","log(sieve)",-0.80641974787636
"Feed14MeanPct","(Intercept)",3.10752526377885
"Feed14MeanPct","log(sieve)",-0.772961005699523
