"stream","term","estimate"
"OS13MeanPct","(Intercept)",-7.60415216274686
"OS13MeanPct","log(sieve)",1.16490280632245
"OS14MeanPct","(Intercept)",-7.84111405899431
"OS14MeanPct","log(sieve)",1.18002736667264
