"stream","R2","adj.R2","p.value","AIC"
"Feed13MeanPct",0.995653307384815,0.995170341538683,6.09913754111102e-12,-25.9593455308478
"Feed14MeanPct",0.995503570383881,0.995003967093201,7.10370713754145e-12,-25.7171817717
"OS13MeanPct",0.935077304327684,0.927863671475204,1.2034652214783e-06,11.2322434115731
"OS14MeanPct",0.918581072710027,0.909534525233363,3.35769666973003e-06,14.2023478009628
"US13MeanPct",0.9792083621065,0.976898180118333,7.03082212314576e-09,1.43007250239927
"US14MeanPct",0.977691389972993,0.975212655525548,9.65845938394718e-09,1.58286905514546
