sieve,OS13MeanPct,OS14MeanPct
1180,0.0857018676553486,0.0948807231830757
600,0.213344150684396,0.235057225052213
425,0.199868579795377,0.226817015927893
300,0.229443412958997,0.225160446484904
212,0.119254922306429,0.0928266338988202
180,0.0189262597691587,0.015230928882987
150,0.0195964438699308,0.0151291221861573
106,0.0238456209642753,0.0179271979096486
75,0.0138117801110311,0.0108191961706679
53,0.0135730710007709,0.0110659926827918
38,0.00878719880729701,0.0078052070331355
0,0.053846692076989,0.0472803105877062
